,energy_source_name,company_name,city,tso_region,latitude,longitude,asset_count,total_generation_capacity_mw
86,Wind,electricville Windfarm Lemwerder GmbH,Ganderkesee,TenneT,53.113911,8.589094,1,3.2
87,Wind,Windfarm Nordisch GmbH ＆ Co. KG Blomberg/Neuschoo II,Blomberg,TenneT,53.552779,7.526852,1,3
88,Wind,"Windfarm Nordisch GmbH ＆ Co. KG, Holtriemer Hammrich VIII",Utarp,TenneT,53.62043,7.496383,1,3
89,Biomass,Lancepower GmbH,Klostermansfeld,50Hertz,51.580261500000006,11.4993545,2,2.838
90,Biomass,Lancepower GmbH,Altentreptow,50Hertz,53.6861795,13.204264,2,2.7199999999999998
91,Biomass,Lancepower Strom Service GmbH,Reinstedt,50Hertz,51.775416,11.3559605,2,2.7199999999999998
92,Biomass,Lancepower Strom Service GmbH,Bismark,50Hertz,52.6435442,11.6760942,5,2.68
93,Biomass,eCG Biomasse,Lustadt,Amprion,49.23389699999999,8.268352,3,2.574
94,Biomass,Lancepower GmbH,Bitterfeld-Wolfen,50Hertz,51.6338214,12.312599,5,2.558
95,Biomass,IEW Biogasfarm Wolgast GmbH,Wolgast,50Hertz,54.058,13.748,4,2.512
96,Biomass,Lancepower Strom Service GmbH,Grimma,50Hertz,51.225693,12.718724,2,2.379
97,Wind,WKA Aasbruch IV GmbH ＆ Co. KG,Drentwede,TenneT,52.748326,8.526801,1,2.35
98,Wind,Windfarm Holtriemer Land II GmbH ＆ Co. KG,Westerholt,TenneT,53.620781,7.448847,1,2.3
99,Wind,Windfarm Holtriemer Land III GmbH ＆ Co. KG,Westerholt,TenneT,53.612332,7.443102,1,2.3
100,Wind,Windfarm Holtriemer Land IV GmbH ＆ Co. KG,Westerholt,TenneT,53.6196,7.452101,1,2.3
101,Wind,Windfarm Holtriemer Land V GmbH ＆ Co. KG,Nenndorf,TenneT,53.620048,7.432877,1,2.3
102,Wind,Windfarm Langewerth I GmbH ＆ Co. KG,Wilhelmshaven,TenneT,53.545165,8.042354,1,2.3
103,Wind,Windfarm Langewerth II GmbH ＆ Co. KG,Wilhelmshaven,TenneT,53.543006,8.037623,1,2.3
104,Wind,Windfarm Sögel I GmbH ＆ Co. KG,Sögel,TenneT,52.817074,7.554345,1,2.3
105,Wind,Windfarm Sögel III GmbH ＆ Co. KG,Sögel,TenneT,52.814607,7.555144,1,2.3
106,Biomass,Lancepower Biomasse GmbH,Wittenburg,50Hertz,53.512,11.088,3,2.1479999999999997
107,Biomass,ELW Stromversorgung Leinefelde-Worbis GmbH,Leinefelde-Worbis,50Hertz,51.382099,10.339433,1,2
108,Wind,Utere Ventos Wiesmoor VII GmbH ＆ Co. KG,Wiesmoor,TenneT,53.38428,7.79883,1,2
109,Wind,Windfarm Dalena GmbH ＆ Co. KG,Delitzsch,50Hertz,51.549568,12.292486,1,2
110,Wind,"Windfarm Nordisch GmbH ＆ Co. KG, Holtriemer Hammrich V",Utarp,TenneT,53.61977,7.479342,1,2
111,Wind,"Windfarm Nordisch GmbH ＆ Co. KG, Holtriemer Hammrich VI",Utarp,TenneT,53.620598,7.483542,1,2
112,Wind,Windfarm Sögel VII GmbH ＆ Co. KG,Sögel,TenneT,52.80477,7.51671,1,2
113,Wind,electricville Windfarm Portfolio GmbH ＆ Co. KG,Beeskow,50Hertz,52.198388,14.224931,1,2
114,Biomass,Lancepower Pelletproduktion GmbH,Osterfeld,50Hertz,51.047045,11.934822,1,1.9
115,Wind,electricville Windfarm Portfolio GmbH ＆ Co. KG,Kladrum,50Hertz,53.54425633333333,11.799951666666669,3,1.7999999999999998
116,Biomass,electricville Contracting GmbH,Hannover,TenneT,52.331872,9.83102,1,1.712
117,Solar,electricville AG,Hannover,TenneT,52.329203,9.821249,4,1.705011
118,Biomass,Lancepower Strom Service GmbH,Bismark,50Hertz,52.703361,11.54253,3,1.608
119,Biomass,Lancepower Strom Service GmbH,Großenhain,50Hertz,51.2880855,13.539823,2,1.596
120,Solar,electricville AG,Neustadt,50Hertz,50.74018866666666,11.781767,3,1.50296
121,Wind,Windenergieanlage Falkenhagen II GmbH ＆ Co. KG,Pritzwalk,50Hertz,53.225452,12.206808,1,1.5
122,Wind,Windenergieanlage Falkenhagen l GmbH ＆ Co. KG,Pritzwalk,50Hertz,53.225938,12.211378,1,1.5
123,Biomass,electricville Contracting Nord,Hamburg,50Hertz,53.544485,10.007057,1,1.487
124,Biomass,electricville Contracting GmbH,Quickborn,TenneT,53.730992,9.894642,1,1.454
125,Solar,electricvilleSolution GmbH,Recklinghausen,Amprion,51.583148,7.217422,1,1.21
